0 2.22222 0 
1 3.07692 0.836813 
2 3.33333 0.6929 
3 3.2 0.491593 
4 2.94118 0.394524 
5 2.72727 0.335704 
6 2.97872 0.427166 
7 3.13725 0.443056 
8 3 0.380789 
9 2.89855 0.333163 
10 2.89474 0.302101 
11 2.92683 0.2848 
12 2.82609 0.262319 
13 2.8866 0.261011 
14 2.85714 0.24032 
15 2.93578 0.250408 
16 3.03571 0.271205 
17 3.05085 0.25912 
18 3.04 0.243967 
19 3.0303 0.230485 
20 3.06569 0.227367 
21 3.05556 0.215825 
22 3.06667 0.208232 
23 3.07692 0.201145 
24 3.0303 0.192619 
25 3.05882 0.190813 
26 3.06818 0.185101 
27 3.07692 0.179715 
28 3.05263 0.172423 
29 3.06122 0.167829 
30 3.02439 0.162522 
31 3.04762 0.161523 
32 3.04147 0.156114 
33 3.07692 0.159049 
34 3.05677 0.153759 
35 3.07692 0.15278 
36 3.05785 0.148 
37 3.04 0.1435 
38 3.03502 0.139449 
39 3.06513 0.141889 
40 3.0597 0.138042 
41 3.03249 0.135024 
42 3.01754 0.131412 
43 3.02405 0.129141 
44 2.9703 0.13254 
45 2.97735 0.130462 
46 2.97468 0.127485 
47 3 0.129452 
48 3.01538 0.129025 
49 3.0303 0.128558 
50 3.00885 0.126037 
51 2.99712 0.123196 
52 2.99435 0.120679 
53 2.99169 0.118263 
54 3.02198 0.122293 
55 2.99465 0.120961 
56 3.02387 0.124649 
57 3.04462 0.125901 
58 3.02564 0.123651 
59 3 0.122168 
60 3.0198 0.123351 
61 3.00971 0.120964 
62 3.01435 0.119501 
63 3.03318 0.12058 
64 3.03738 0.119128 
65 3.06977 0.124162 
66 3.05239 0.122138 
67 3.05618 0.120699 
68 3.0735 0.121538 
69 3.07692 0.120117 
70 3.09368 0.120882 
71 3.09013 0.118982 
72 3.09979 0.118478 
73 3.08333 0.116777 
74 3.08642 0.115491 
75 3.08316 0.113777 
76 3.08 0.112113 
77 3.07087 0.110392 
78 3.09198 0.112498 
79 3.07102 0.111527 
80 3.074 0.110404 
81 3.07116 0.108893 
82 3.06273 0.107317 
83 3.06011 0.10589 
84 3.06859 0.105564 
85 3.07143 0.104568 
86 3.09609 0.1079 
87 3.10406 0.107518 
88 3.10105 0.106146 
89 3.08748 0.104913 
90 3.09524 0.104569 
91 3.11337 0.106208 
92 3.12605 0.106678 
93 3.12812 0.105703 
94 3.1405 0.106142 
95 3.14754 0.105741 
96 3.13409 0.104611 
97 3.126 0.103322 
98 3.14785 0.106 
99 3.14961 0.105071 
